INGI,INGLES I
ALL1,?LGEBRA LINEAL
QUO1,QUIMICA ORGANICA
DES1,DESARROLLO SUSTENTABLE
BIT1,BIOTECNOLOG?A
EBIMII,ESTANCIA II
ING2,INGL?S II
DHV,DESARROLLO HUMANO Y VALORES
FMAT,FUNCIONES MATEM?TICAS
PRE1,PROBABILIDAD Y ESTAD?STICA
QUI1,QU?MICA INORG?NICA
BIOL,BIOLOG?A
BIOQ1,BIOQU?MICA
ESDA,ESTRUCTURA DE DATOS
FBD,FUNDAMENTOS DE BASES DE DATOS
FRED,FUNDAMENTOS DE REDES
FURE,FUNDAMENTOS DE REDES
PROO,PROGRAMACION ORIENTADA A OBJETOS
ASE,ASESORIA
BIYB,BIOMATERIALES Y BIOSENSORES
FISO,FISIOLOGIA
PRIM,PROCESAMIENTO DE IMAGENES
DAC,DISEŠO ASISTIDO POR COMPUTADORA
FISIC,FISICA
ING3,INGL?S III
IEMC,INTELIGENCIA EMOCIONAL Y MANEJO DE CONFLICTOS
CALCDIF,C?LCULO DIFERENCIAL
FIS1,F?SICA
QUA1,QU?MICA ANAL?TICA
TER1,TERMODIN?MICA
ANBP,AN?LISIS DE BIOPRODUCTOS
FMB,FUNDAMENTOS DE MICROBIOLOG?A
ARH,ADMINISTRACION DE RECURSOS HOSPITALARIOS
INCR,INGENIER?A CLINICA
INVB,INVESTIGACION BIOMEDICA
CADI,CALCULO DIFERENCIAL
ELME,ELECTRICIDAD Y MAGNETISMO
BASD,BASES DE DATOS
PRVI,PROGRAMACION VISUAL
EDAA,ESTRUCTURA DE DATOS AVANZADAS
PDD,PROCESOS DEL DESARROLLO DE SOFTWARE
NAI,NEUROANATOMIA
BME1,BALANCE DE MATERIA Y ENERG?A
BCAT,BIOCAT?LISIS
CINTEG,C?LCULO INTEGRAL
FISQUIM,FISICOQU?MICA
HCC,HABILIDADES COGNITIVAS Y CREATIVIDAD
ING4,INGL?S 4
EBIO1,ESTANCIA 1
ING5,INGL?S 5
ETCPROF,?TICA PROFESIONAL
MATING1,MATEM?TICAS PARA INGENIER?A I
MICAVAN,MICROBIOLOG?A AVANZADA
FUBIOPRO,FUNDAMENTOS DE BIOPROCESOS
FTRANSP,FENĖMENOS DE TRANSPORTE
BIOMOLEC,BIOLOG?A MOLECULAR
CTREST,CONTROL ESTAD?STICO
ING6,INGL?S VI
HGER,HABILIDADES GERENCIALES
MATING2,MATEM?TICAS PARA INGENIER?A II
OPUNIT,OPERACIONES UNITARIAS
INBIOR,INGENIER?A DE BIORREACTORES
INGEN,INGENIER?A GEN?TICA
ING7,INGL?S VII
LEAD,LIDERAZGO DE EQUIPOS DE ALTO DESPEMPEŠO
BIOINF,BIOINFORM?TICA
INBPROC,INGENIER?A DE BIOPROCESOS
INGPROY,INGENIER?A DE PROYECTOS
EBIO2,ESTANCIA II
ING8,INGL?S VIII
BIOHIG,BIOSEGURIDAD E HIGIENE
COBPRO,CONTROL DE BIOPROCESOS
METBOL,METABOLĖMICA
CTRCAL,CONTROL DE CALIDAD
BAMB,BIOTECNOLOG?A AMBIENTAL
BAGRO,BIOTECNOLOG?A AGROPECUARIA
ING9,INGL?S IX
FISING,F?SICA PARA INGENIER?A
MEJBPR,MEJORA DE BIOPROCESOS
BALIM,BIOTECNOLOG?A EN ALIMENTOS
BMFAR,BIOTECNOLOG?A M?DICO-FARMAC?UTICA
GESPRY,GESTIĖN DE PROYECTOS
EOE2,EXPRESIĖN ORAL Y ESCRITA II
ESBIO1,ESTAD?A
APSB,APLICACIONES EN PROCESAMIENTO DE SEŠALES BIOMEDICAS
TEL,TELEMEDICINA
PROW,PROGRAMACIĖN WEB
ISAC,INGENIER?A DE SOFTWARE ASISTIDA POR COMPUTADORA
IRS,INGENIER?A DE REQUERIMIENTOS DE SOFTWARE
EEIS,EXPRESION ORAL Y ESCRITA I
ESBIM,ESTADIA BIOMEDICA
ALLC,?LGEBRA LINEAL
BDSC,BIOTECNOLOG?A Y DESARROLLO SUSTENTABLE
EOYEC,EXPRESIĖN ORAL Y ESCRITA
FPIC,F?SICA PARA INGENIER?A
ING1C,INGL?S I
QUBC,QU?MICA B?SICA
QUOC,QU?MICA ORG?NICA
INMA,INTRODUCCION A LAS MATEMATICAS
INCO,INTRODUCCION A LA CONTABILIDAD
MALO,MARCO LEGAL DE LAS ORGANIZACIONES
PRWE,PROGRAMACION WEB
LOP,LĖGICA DE LA PROGRAMACIĖN
ING2C,INGL?S II
DHVC,DESARROLLO HUMANO Y VALORES
FMATC,FUNCIONES MATEM?TICAS
PREC,PROBABILIDAD Y ESTAD?STICA
QUIC,QU?MICA INORG?NICA
BIOLC,BIOLOG?A
QUAC,QU?MICA ANAL?TICA
COT,COTABILIDAD
DM,DERECHO MERCANTIL
SIOR,SISTEMAS DE INFORMACION EN LAS ORGANIZACIONES
ETPR,ETICA PROFESIONAL
MUDD,MULTIMEDIA Y DISEŠO DIGITAL
PRCS,PROGRAMACION CLIENTE SERVIDOR
ARS,ARQUITECTURA DE SOFTWARE
EST1SOF,ESTANCIA I
PROB,PROGRAMACION ORIENTADA A OBJETOS
MACF,MACROECONOMIA
ING3C,INGL?S III
IEMCC,INTELIGENCIA EMOCIONAL Y MANEJO DE CONFLICTOS
CALCDIFC,C?LCULO DIFERENCIAL
FMBC,FUNDAMENTOS DE MICROBIOLOG?A
BIOQ1C,BIOQU?MICA
TER1C,TERMODIN?MICA
ANBPC,AN?LISIS DE BIOPRODUCTOS
ING4C,INGL?S IV
HCCC,HABILIDADES COGNITIVAS Y CREATIVIDAD
CINTEGC,C?LCULO INTEGRAL
BME1C,BALANCE DE MATERIA Y ENERG?A
MICAVANC,MICROBIOLOG?A AVANZADA
FISQUIMC,FISICOQU?MICA
EBIO1C,ESTANCIA 1
ING5C,INGL?S V
ETCPROFC,?TICA PROFESIONAL
MATING1C,MATEM?TICAS PARA INGENIER?A I
BCATC,BIOCAT?LISIS
FUBIOPROC,FUNDAMENTOS DE BIOPROCESOS
FTRANSPC,FENĖMENOS DE TRANSPORTE
BIOMOLECC,BIOLOG?A MOLECULAR
ING6C,INGL?S VI
HGERC,HABILIDADES GERENCIALES
MATING2C,MATEM?TICAS PARA INGENIER?A II
OPUNITC,OPERACIONES UNITARIAS
INBIORC,INGENIER?A DE BIORREACTORES
CTRESTC,CONTROL ESTAD?STICO
INGENC,INGENIER?A GEN?TICA
ING7C,INGL?S VII
LEADC,LIDERAZGO DE EQUIPOS DE ALTO DESEMPEŠO
BIOINFC,BIOINFORM?TICA
INBPROCC,INGENIER?A DE BIOPROCESOS
INGPROYC,INGENIER?A DE PROYECTOS
EBIO2C,ESTANCIA II
ING8C,INGL?S VIII
BIOHIGC,BIOSEGURIDAD E HIGIENE
COBPROC,CONTROL DE BIOPROCESOS
METBOLC,METABOLĖMICA
CTRCALC,CONTROL DE CALIDAD
BAMBC,BIOTECNOLOG?A AMBIENTAL
BAGROC,BIOTECNOLOG?A AGROPECUARIA
ING9C,INGL?S IX
MEJBPRC,MEJORA DE BIOPROCESOS
BALIMC,BIOTECNOLOG?A EN ALIMENTOS
BMFARC,BIOTECNOLOG?A M?DICO-FARMAC?UTICA
GESPRYC,GESTIĖN DE PROYECTOS
EOE2C,EXPRESIĖN ORAL Y ESCRITA II
ESBIO1C,ESTAD?A
MING,MATEMATICAS PARA INGENIERIA 1
PEO,PLANEACION ESTRATEGICA EN LAS ORGANIZACIONES
INGIIIG,INGLES III
PREG,PROBABILIDAD Y ESTADISTICA
COAG,CONTABILIDAD ADMINISTRATIVA
ECAG,ECONOMIA DE LA EMPRESA
MEIG,METODOLOGIA DE LA INVESTIGACION
ECEG,ECONOMIA DE LA EMPRESA
ECEM,ECONOMIA DE LA EMPRESA
DIIN,DISEŠO DE INTERFACES
SIDI,SISTEMAS DIGITALES
LEYA,LENGUAJES Y AUTOMATAS
CASO,CALIDAD DEL SOFTWARE
SMATINGII,MATEMATICAS PARA INGENIER?A II
AGTH,ADMINISTRACIĖN Y GESTIĖN DEL TALENTO HUMANO
CCP,CONTABILIDAD DE COSTOS DE LA PRODUCCION
AEC,AGREGADOS ECONOMICOS
PRSO,PRUEBAS DEL SOFTWARE
COIN,COMPILADORES E INTERPRETES
EST2SOF,ESTANCIA 2 SOFTWARE
PREST,PROBABILIDAD Y ESTAD?STICA SOFTWARE
EOEB,EXPRESIĖN ORAL Y ESCRITA BIOMEDICA
INTB,INTRODUCCION A LA INGENIER?A BIOM?DICA
QBB,QUIMICA BASICA BIOMEDICA
FISB,FISICA BIOMEDICA
FUMAB,FUNCIONES MATEMATICAS BIOMEDICA
ESFINI,ESTANCIA I FINANCIERA
HGN,HABILIDADES GERENCIALES
MAFG,MATEMATICAS FINANCIERAS
CDE,COMPORTAMIENTO Y DESARROLLO EMPRESARIAL
CCS,CONTABILIDAD DE COSTOS -SERVICIOS
INMG,INVESTIGACION DE MERCADOS
LLG,LEGISLACION LABORAL
PRT,PRESUPUESTOS
INPR,INGENIERIA DE PROCESOS
INGP,INGENIERIA DE PROCESOS
CDINT,CALCULO DIFERENCIAL E INTEGRAL
BDNF,BASE DE DATOS PARA NEGOCIOS
DFF,DERECHO FISCAL
CLI1,CLINICA 1
ANAT,ANATOMIA
TEHA,TECNOLOG?A HOSPITALARIA AMBIENTAL
INCL,INGENIER?A CL?NICA
ALLI,?LGEBRA LINEAL
INAR,INTELIGENCIA ARTIFICIAL
ANFI,ANALISIS FINANCIERO DE SOFTWARE
ARCO,ARQUITECTURA DE COMPUTADORAS
MASO,MANTENIMIENTO DE SOFTWARE
PRCO,PROGRAMACION CONCURRENTE
PROMO1,PROGRAMACION PARA MOVILES I
INI1,INTRODUCCION A LA INGENIERIA
ADC,ADMINISTRACION DE LA CALIDAD
PROMO2,PROGRAMACION PARA MĖVILES 2
MIDA,MINERIA DE DATOS 2018
PRYE,PROBABILIDAD Y ESTADISTICA
PRIE,PRINCIPIOS DE ELECTRONICA
ADRH,ADMINISTRACION DE RECURSOS HOSPITALARIOS
FISIO,FISIOLOGIA
SEIN,SEGURIDAD DE LA INFORMACION
AOSE,ARQUITECTURA ORIENTADA A SERVICIOS
EOYES2,EXPRESION ORAL Y ESCRITA 2
CLI2,CLINICA 2
ESFINII,ESTANCIASII
INEM,INOVACION Y EMPRENDIMIENTO
SUS,SUSTENTABILIDAD
ESTGEII,ESTANCIAS II
CIBM,CALCULO INTEGRAL
ELAN,ELECTRONICA ANALOGICA
EYPM,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
FIPI,FISICA PARA INGENIERIA
ESSOFT,ESTAD?A
FIPII,FINANZAS PUBLICAS
NDE,NEGOCIACION Y TOMA DE DECISIONES EMPRESARIALES
EMP,EMPRENDIMIENTO
AUAG,AUDITORIA ADMINISTRATIVA
FOP,FORMULACION DE PROYECTOS
LOAD,LOGISTICA ADMINISTRATIVA
RSE,RESPONSABILIDAD SOCIAL EMPRESARIAL
ARE,ADMINISTRACION DE REDES EMPRESARIALES
CONS,CONSULTORIA
GEMG,GESTION DE MARCA
EOYECII,EXPRESION ORAL Y ESCRITA II
GEP,GESTION Y EVALUACION DE PROYECTOS
CMI,COMERCIALIZACION INTERNACIONAL
ESTDGE,ESTADIAS
FINTII,FINANZAS INTERNACIONALES
MFSII,MERCADOS FINANCIEROS
PEIDI,PORTAFOLIOS E INSTRUMENTOS DE INVERSION
DBYB,DERECHO BANCARIO Y BURSATIL
CORII,CONTROL DE RIESGO
EPMA,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
ELDI,ELECTRONICA DIGITAL
POBJ,PROGRAMACION ORIENTADA A OBJETOS
SEACB,SENSORES Y ACTUADORES BIOMEDICOS
SYACB,SENSORES Y ACTUADORES BIOMEDICOS
SUEE,SUMINISTRO DE ENERG?A EL?CTRICA
MAI01,MATEMATICAS PARA INGENIER?A I
INGIX-TR,INGLES IX
VDE,VALUACIĖN DE EMPRESAS
CME,CONSTRUCCION DE MODELOS Y ESCENARIOS FINANCIEROS
SIFI,SIMULACIĖN FINANCIERA
TSF,TEMAS SELECTOS DE INNOVACIĖN FINANCIERA
TAMF,TECNOLOG?A APLICADA A LOS MERCADOS FINANCIEROS
ESTFI,ESTRATEGIAS FINANCIERAS
MING2B,MATEMATICAS PARA INGENIERIA 2
MATI2,MATEMATICAS PARA INGENIER?A 2
EDP,ELECTRĖNICA DE POTENCIA
MEME,MANTENIMIENTO DE EQUIPOS M?DICOS
BASDAT,BASES DE DATOS
ESTBM1,ESTANCIA I BIOMEDICA
GEPB,GESTIĖN DE PROYECTOS
BINS,BIOINSTRUMENTACIĖN
OP1B,BIOMEC?NICA
MICB,MICROCONTROLADORES
ESTII,ESTANCIA II
INBVII,INGL?S VII
FMED,F?SICA M?DICA
ESFIN2,ESTADIA PROFESIONAL ASOCIADO
INGIIIBM,INGLES II
IEMOIBM,INTELIGENCIA EMOCIONAL Y MANEJO DE CONFLICTOS
ALINIBM,ALGEBRA LINEAL
ING8BM,INGLES VIII
DESIBM,DESARROLLO DE SISTEMAS BIOMEDICOS
PROSIBM,PROCESAMIENTO DE SEŠALES BIOMEDICAS
PROTOIBM,PROTOCOLOS E INTERFACES DE COMUNICACION
OP2B,TELESALUD
DISPROIBM,DISPOSITIVOS PROGRAMABLES
DISASTC,DISEŠO ASISTIDO POR COMPUTADORA
ISBB,INTEGRACIĖN DE SISTEMAS BIOM?DICOS
INGIXIBM,INGLES IX
APSBB,APLICACIĖN DEL PROCESAMIENTO DE SEŠALES BIOM?DICAS
METRO,METROLOG?A
PRIMG,PROCESAMIENTO DE IM?GENES
INGEC,INGENIER?A ECONĖMICA
OYEII,EXPRESIĖN ORAL Y ESCRITA II
CVAS,INTELIGENCIA EMOCIONAL
CINGI,INGLES I
CFAN,FUNDAMENTOS DE ANATOMIA
CBCM,BIOLOGIA  CELULAR Y MOLECULAR
CFAT,FISICA APLICADA A LA TERAPIA FISICA
CITF,INTRODUCCION A LA TERAPIA FISICA
GYE,GENETICA Y EMBRIOLOGIA
CGYE,GEN?TICA Y EMBRIOLOG?A
ESTIBMB,ESTADIA
INGIIC,INGLES II
INEC,INTELIGENCIA EMOCIONAL
ACEC,ANATOMIA DE CABEZA CUELLO Y EXTREMIDADES
SICC,ANATOMIA DE SISTEMAS
FBQC,FUNDAMENTOS DE BIOQUIMICA
NANC,NeuroanatomŻa
LAHC,LEGISLACION Y ADMINISTRACION HOSPITALARIA
DEIC,DESARROLLO INTERPERSONAL
INGIIIC,INGLES III
NFIC,NEUROFISIOLOGIA
INGIVC,INGLES IV
BESC,BIOMECANICA DE LA EXTREMIDAD SUPERIOR
CPTC,CLINICA PROPEDEUTICA EN TERAPIA FISICA
EDSC,EDUCACION SANITARIA
INGVC,INGLES V
HAOC,HABILIDADES ORGANIZACIONALES
FIEC,FISIOLOGIA DEL EJERCICIO
BEIC,BIOMECANICA DE LA EXTREMIDAD INFERIOR
APHC,ATENCION PREHOSPITALARIA
NHPC,NEUROPATOLOGIA HUMANA EN PEDIATRIA
AFTIC,AGENTES FISICOS TERAPEUTICOS