CVAS,INTELIGENCIA EMOCIONAL
CINGI,INGLES I
CFAN,FUNDAMENTOS DE ANATOMIA
CBCM,BIOLOGIA  CELULAR Y MOLECULAR
CFAT,FISICA APLICADA A LA TERAPIA FISICA
CITF,INTRODUCCION A LA TERAPIA FISICA
GYE,GENETICA Y EMBRIOLOGIA
CGYE,GENETICA Y EMBRIOLOGIA
ESTIBMB,ESTADIA
INGIIC,INGLES II
INEC,INTELIGENCIA EMOCIONAL
ACEC,ANATOMIA DE CABEZA CUELLO Y EXTREMIDADES
SICC,ANATOMIA DE SISTEMAS
FBQC,FUNDAMENTOS DE BIOQUIMICA
NANC,NeuroanatomÄ°a
LAHC,LEGISLACION Y ADMINISTRACION HOSPITALARIA
DEIC,DESARROLLO INTERPERSONAL
INGIIIC,INGLES III
NFIC,NEUROFISIOLOGIA
INGIVC,INGLES IV
BESC,BIOMECANICA DE LA EXTREMIDAD SUPERIOR
CPTC,CLINICA PROPEDEUTICA EN TERAPIA FISICA
EDSC,EDUCACION SANITARIA
INGVC,INGLES V
HAOC,HABILIDADES ORGANIZACIONALES
FIEC,FISIOLOGIA DEL EJERCICIO
BEIC,BIOMECANICA DE LA EXTREMIDAD INFERIOR
APHC,ATENCION PREHOSPITALARIA
NHPC,NEUROPATOLOGIA HUMANA EN PEDIATRIA
AFTIC,AGENTES FISICOS TERAPEUTICOS